Tweet_id,sentiment
1254448738325729280,Neutral
1221791947855212544,Neutral
1221780846505549825,Neutral
1223397855903277062,Neutral
1080330946895929345,Positive
1253041516156719107,Neutral
1221726060154245121,Neutral
1253689692249296896,Neutral
1143202134697086976,Neutral
1223395567025446912,Positive
1254232449191743488,Neutral
1223421986354974721,Neutral
1143297865445457921,Neutral
1223399116203614208,Negative
1221882773272657920,Negative
1143248282703060994,Neutral
1242908498427592705,Neutral
1242851820705374210,Neutral
1080071323676745728,Neutral
1221881408827936768,Neutral
1145815687065198601,Negative
1143225438556295168,Neutral
1221790977796517888,Positive
1245291952339329030,Neutral
1223400872807485440,Neutral
1223508846263574530,Neutral
1242865535412580357,Negative
1223398626661224448,Neutral
1221882883717128194,Neutral
1221788766219706368,Neutral
1245262748801536000,Neutral
1141042634959593474,Neutral
1223398675273199617,Neutral
1221990560891920385,Neutral
1115704287105966082,Neutral
1143232762817732608,Neutral
1234056063642718209,Neutral
1223398662623154178,Neutral
1229149769144164358,Negative
1080144458757361670,Neutral
1221775988989796353,Neutral
1242786731222597632,Neutral
1243753011417092101,Negative
1145628582376628226,Negative
1254157761392398336,Neutral
1143595894467702785,Negative
1221787971776630784,Neutral
1190472121497071617,Negative
1223398239556325376,Positive
1245302502385475586,Neutral
1242760416733933568,Neutral
1221028113460662272,Neutral
1235505387840782338,Neutral
1242849459979071488,Neutral
1227322826828472331,Positive
1143538784774098944,Negative
1223397675439136768,Neutral
1252313043712827398,Neutral
1219233021011820545,Neutral
1221880678272380929,Neutral
1245140292879241217,Neutral
1143199501756317696,Negative
1143305271516770305,Neutral
1143568361546223624,Neutral
1221784540567474176,Neutral
1221788505782865920,Positive
1221882557882621952,Neutral
1086290720833585154,Negative
1223397624390258690,Neutral
1223396963598635010,Neutral
1227160220058693632,Negative
1080559313582780416,Negative
1179155627496611840,Neutral
1221883131122388995,Neutral
1221144702814171136,Neutral
1234563544156450819,Neutral
1250817968742727686,Neutral
1223397559055667200,Negative
1212852411771084805,Neutral
1224607060215640064,Neutral
1227576992100421632,Neutral
1146085103975751681,Positive
1211639318143475712,Neutral
1225543655567568896,Neutral
1086587879546109952,Neutral
1252697052489887744,Neutral
1252159720321888256,Neutral
1245190419257995264,Negative
1245276712327352320,Neutral
1242840848041152513,Neutral
1226424295490048005,Neutral
1221780021523685376,Positive
1146515732894760968,Positive
1080343139448180736,Neutral
1109530364576448514,Neutral
1221783282473488384,Positive
1143215779724308482,Neutral
1223397693252304897,Neutral
1221776786570326016,Positive
1107069051778551809,Negative
1145612791853854721,Positive
1244898522442477568,Neutral
1221885028617084929,Neutral
1132108256476893184,Negative
1145596788373696513,Negative
1221883649039179776,Positive
1250509482553225217,Negative
1221751373987008514,Neutral
1183102553023746049,Neutral
1223397259431288832,Positive
1251250339526979585,Neutral
1229147921922260992,Positive
1072541719521058817,Negative
1146335327189118976,Neutral
1145705048187580416,Neutral
1114919871136063488,Neutral
1145792830696296449,Neutral
1223396827829100544,Neutral
1223397231405019136,Positive
1221813055920713728,Positive
1245301623817191424,Neutral
1146519522536546305,Positive
1221780849064136706,Neutral
1220612737056854016,Neutral
1223396479068516353,Neutral
1248066856000327680,Negative
1250412125811625985,Neutral
1223397072080179206,Neutral
1223399033533878273,Negative
1243464410988937216,Negative
1168589023134310400,Neutral
1229146494449700865,Neutral
1233047950298951682,Neutral
1254758665078353930,Neutral
1080119328194867200,Neutral
1221664565525610496,Negative
1191625715361419264,Positive
1223395812497149953,Neutral
1221778723680276482,Neutral
1223397780099604480,Neutral
1221880622697930753,Positive
1221880853472653314,Neutral
1235224394605228032,Neutral
1254441728532250624,Negative
1227325516316839936,Neutral
1254759371193618432,Neutral
1222030825400754176,Neutral
1254161480645251073,Neutral
1245765686158340099,Negative
1221823740465549313,Neutral
1250699484352385024,Neutral
1113053360020754432,Neutral
1147206063718109185,Neutral
1229149956499476486,Positive
1255438886794338308,Neutral
1221880510412140547,Neutral
1232393349174263808,Negative
1227968316704251904,Neutral
1221781525986934785,Negative
1221882018914541576,Neutral
1147286129995067397,Positive
1226421481061658624,Positive
1221737967955464194,Neutral
1240628549838680065,Neutral
1221778257143615488,Negative
1251872163860267015,Neutral
1254561293002067968,Neutral
1157770124113383424,Negative
1223397841130881024,Neutral
1223396790776553472,Neutral
1250134007574147074,Neutral
1223396541177704466,Negative
1143185444886257670,Negative
1080097817740353537,Neutral
1242900627853844482,Neutral
1146197507799748608,Neutral
1146358619098796032,Neutral
1146301405529083904,Positive
1216946510467862529,Neutral
1221777821120581633,Negative
1221742798388518912,Neutral
1224979369413791746,Neutral
1183125472412098560,Neutral
1217480845839212544,Neutral
1154035841188032512,Positive
1221884876800040965,Positive
1251250581018198021,Positive
1221777196827795457,Neutral
1245175943683022850,Neutral
1244704228565811200,Negative
1242831448568139779,Positive
1223398527965024259,Neutral
1223397973364703233,Neutral
1214222140863590406,Positive
1252275221068996610,Neutral
1223397866670108673,Neutral
1115658896507572225,Neutral
1143281705660403719,Neutral
1250155115828383752,Neutral
1221781758388998145,Positive
1221881378905776130,Neutral
1242877627683213313,Negative
1146527537163583494,Positive
1221884950791774209,Neutral
1242883611948449793,Neutral
1221781935829274624,Neutral
1221787935583932417,Positive
1229147502944845824,Neutral
1080235589620908037,Positive
1221789074865954819,Neutral
1251506473248657408,Positive
1146649159648325632,Positive
1080211087088332805,Positive
1254492123996528640,Neutral
1221870990898139137,Neutral
1251218508354129921,Neutral
1134990413734064130,Positive
1223422421916622850,Neutral
1145695033754079234,Neutral
1226409249040982016,Neutral
1223397895677841410,Neutral
1221882586299092992,Neutral
1252018231520432130,Neutral
1221889369801478147,Neutral
1255477384335306752,Neutral
1253072133045002246,Neutral
1223398218098188288,Positive
1250465912844681218,Neutral
1113083568916443136,Neutral
1245288850756456449,Neutral
1223396193423831042,Neutral
1251237784859410435,Neutral
1242879728685547520,Negative
1221784354646581249,Neutral
1145705285174157317,Neutral
1226425180597227520,Neutral
1222005276771016704,Positive
1227321726004011010,Neutral
1255450708188504065,Neutral
1153391704835276800,Neutral
1224977281426214914,Negative
1221789698231881734,Neutral
1146445744892784641,Positive
1197418575344087040,Neutral
1143209745559498758,Neutral
1230496535659601922,Neutral
1223397990079090688,Neutral
1221786235183734785,Neutral
1223395590874312704,Neutral
1243470562002735104,Neutral
1142842006349262851,Neutral
1143245069492871168,Neutral
1251359917543493632,Neutral
1147754281971462149,Positive
1241272046501474306,Neutral
1183078555737116672,Negative
1137809161608224769,Neutral
1226452319044341760,Neutral
1215011621896097793,Neutral
1221576378270830592,Neutral
1221790732324831232,Neutral
1221884919938453511,Neutral
1253767730131611648,Neutral
1080499475230216194,Neutral
1252207976716423169,Neutral
1250255176147128320,Neutral
1146660797357219842,Negative
1221788023131725825,Neutral
1249814604601004034,Positive
1245256601960886272,Neutral
1080151978058174464,Negative
1245301052229943296,Neutral
1250158792077193221,Neutral
1224753139456315392,Neutral
1250752443526365185,Negative
1243447516772872193,Neutral
1221871086792531970,Neutral
1223399900836245505,Neutral
1251457418116116480,Negative
1221884651217866753,Neutral
1252166592655511552,Neutral
1212884112211611648,Neutral
1221785198255394816,Neutral
1250648148126642176,Neutral
1251542269733240836,Neutral
1143212970492735488,Negative
1243981968913641472,Negative
1221788632278802432,Neutral
1146501221332770818,Positive
1080060111798837248,Negative
1223398829275348992,Neutral
1221880846589792258,Neutral
1240732853941481478,Negative
1245292126214270977,Neutral
1229147613838086145,Neutral
1158019680436674561,Neutral
1145660627651837952,Neutral
1240189966732406787,Negative
1221776026650451969,Positive
1132105246069678080,Neutral
1080553459106095104,Negative
1216873255975424006,Neutral
1252602266173026306,Neutral
1251072046051835904,Neutral
1157243721840320512,Neutral
1113118702638116865,Neutral
1224976877233852417,Neutral
1244670840911863817,Neutral
1228612607025844226,Neutral
1147920802874109952,Neutral
1106969980606779392,Neutral
1220912003180630016,Neutral
1221788677975740416,Neutral
1080487466405122048,Neutral
1220472694870769670,Neutral
1183097497864081417,Neutral
1182928368527912962,Neutral
1250808192021512192,Neutral
1230617263822209029,Neutral
1252928245718290433,Neutral
1221103270602723328,Neutral
1158401926985334784,Neutral
1080148649525547008,Positive
1226408161319510016,Neutral
1090045339791433728,Negative
1222865831761195009,Negative
1112980382146756611,Neutral
1221884730926342144,Neutral
1223310758391447554,Neutral
1221791455334879232,Neutral
1115464195233939456,Negative
1223399106879676417,Negative
1223398109314781184,Positive
1223395776316964864,Neutral
1223397785841651712,Negative
1212722041100668928,Neutral
1254178971366952960,Neutral
1223398820354109447,Positive
1221557239271608323,Neutral
1146353314864476160,Negative
1245194764389138434,Neutral
1223397815331840000,Neutral
1243462052380893186,Neutral
1254357971481526272,Neutral
1225872831587737600,Neutral
1243454665389494273,Neutral
1221824356306817024,Neutral
1221883857735233542,Positive
1242889219548295168,Negative
1220467601094201344,Neutral
1147969185051529216,Neutral
1223397730032156673,Positive
1098589425762820099,Neutral
1250332309812695042,Neutral
1190793908692889604,Negative
1221798139113492480,Neutral
1143272859642540034,Negative
1234934530710134784,Neutral
1250074238360465413,Neutral
1248058392591183872,Negative
1245272185754746880,Neutral
1252625995502362627,Neutral
1132332345195925504,Negative
1145607394057236480,Neutral
1213175224369373190,Neutral
1221779346626633728,Neutral
1221781975159230464,Neutral
1223398241879953409,Negative
1222039433723219968,Neutral
1145734352267075586,Neutral
1221783231122624512,Neutral
1080537230245093388,Neutral
1221824855437381635,Neutral
1146046090971701248,Positive
1245149000858288130,Neutral
1236222050399850502,Neutral
1221881799393140738,Neutral
1080156030380716033,Neutral
1250625156214652930,Neutral
1254065849532583937,Neutral
1223417716914126850,Neutral
1229807654152871939,Neutral
1227654896448655365,Neutral
1223395888128831495,Neutral
1223396697298153473,Negative
1158429014480052226,Neutral
1221885131293626369,Positive
1221881964162093057,Negative
1155990728884928512,Positive
1221777016946614272,Neutral
1252566546297368578,Neutral
1253235115288821760,Negative
1245259661890195456,Neutral
1145565299644805120,Neutral
1242878965758464000,Neutral
1251142168888123392,Neutral
1221884220819288064,Neutral
1223397202040627200,Negative
1085219461026713600,Positive
1222054994356187137,Neutral
1221836966259499015,Positive
1104870587342774273,Neutral
1147772138138587138,Positive
1221881271816720384,Neutral
1223398506368507905,Negative
1254221988568203264,Neutral
1221786564881240071,Neutral
1221883660435099649,Neutral
1221881089209270272,Positive
1221772614760378374,Neutral
1147770750306324480,Positive
1145774372696875009,Neutral
1254525465974497285,Neutral
1223399113506664450,Negative
1145628970592944130,Neutral
1251402552622620672,Neutral
1143243456682385408,Positive
1223398214293958660,Positive
1222065149567283204,Neutral
1132090671374983169,Neutral
1223396768072839169,Neutral
1221896050312667139,Neutral
1222984777025957892,Neutral
1183118857873043456,Neutral
1129865794047889409,Neutral
1223397003595481089,Positive
1245290439651086336,Neutral
1156335223052939264,Negative
1221982574341447680,Positive
1190009542744129536,Neutral
1253734045520887813,Negative
1221781879604551685,Positive
1221881057747795969,Negative
1243248865593176064,Neutral
1221883930636439553,Negative
1242885415255842824,Positive
1248058780161576960,Negative
1132051015098916865,Negative
1221813001709330432,Positive
1239990705113698310,Neutral
1251920262473318400,Neutral
1145047307475443712,Neutral
1245286543968919552,Negative
